feature,importance_mean,importance_std
production_units,1.1074442982673645,0.0427832488777664
co2_saved_tons,0.2089455544948578,0.006358828419068937
range_km,0.04628238081932068,0.0023691828106423654
battery_capacity_kwh,0.003693169355392456,0.00027764820821654743
source_type,0.00031856298446655276,0.0002235912744570823
region,9.543895721435547e-05,4.956538052230091e-05
avg_price_usd,5.268454551696777e-05,0.000223955323806721
month,3.933906555175781e-06,0.0001051796302687975
charging_stations,-3.3020973205566405e-06,8.231005738544164e-05
model,-9.001493453979492e-05,2.216370965216607e-05
