actual,predicted,residual
11974,11366.084,607.916015625
9189,8909.14,279.8603515625
15956,16663.354,-707.353515625
10336,10689.58,-353.580078125
15152,15542.077,-390.0771484375
4224,3927.207,296.79296875
8475,8651.624,-176.6240234375
4093,3965.2505,127.74951171875
2972,2989.475,-17.47509765625
8208,8354.508,-146.5078125
14260,13899.384,360.6162109375
7570,7845.3096,-275.3095703125
13486,13220.642,265.3583984375
12149,11719.113,429.88671875
12547,12679.25,-132.25
10084,9745.322,338.677734375
11566,11690.261,-124.2607421875
5933,5800.266,132.73388671875
7909,7876.0635,32.9365234375
11172,10704.687,467.3134765625
6187,6291.0796,-104.07958984375
9237,8893.959,343.041015625
13489,12761.574,727.42578125
16543,17211.172,-668.171875
5572,5380.247,191.7529296875
5100,5320.133,-220.1328125
10077,10281.516,-204.515625
9320,9351.059,-31.05859375
20107,21546.79,-1439.7890625
10163,9888.719,274.28125
20667,21605.012,-938.01171875
13497,13545.671,-48.6708984375
6847,7268.2456,-421.24560546875
14126,13428.223,697.77734375
2923,2981.3342,-58.334228515625
10226,9944.678,281.322265625
6349,6462.199,-113.19921875
10874,11031.054,-157.0537109375
9313,9579.448,-266.4482421875
19577,19371.156,205.84375
8660,8567.714,92.2861328125
10989,11375.877,-386.876953125
8284,8428.881,-144.880859375
14160,14780.005,-620.0048828125
7939,8260.73,-321.73046875
11849,12208.087,-359.0869140625
14166,14674.529,-508.529296875
4993,5259.9404,-266.9404296875
3922,4108.6406,-186.640625
13671,13889.726,-218.7255859375
3237,3216.4275,20.572509765625
9874,10329.926,-455.92578125
8186,8255.391,-69.390625
14287,14961.843,-674.8427734375
9203,9605.256,-402.255859375
6397,6801.123,-404.123046875
10964,11015.612,-51.6123046875
11349,10922.721,426.279296875
9756,9454.698,301.3017578125
10028,10057.883,-29.8828125
14575,15035.838,-460.837890625
15394,14951.836,442.1640625
11739,12302.109,-563.109375
16989,16881.46,107.5390625
9221,9393.714,-172.7138671875
13985,13754.062,230.9384765625
10084,10406.175,-322.1748046875
3747,3574.9993,172.000732421875
13980,14132.05,-152.0498046875
8438,8923.829,-485.8291015625
11195,11683.472,-488.4716796875
3028,3070.4595,-42.45947265625
7874,7412.2734,461.7265625
14239,14154.128,84.8720703125
11053,10660.292,392.7080078125
4070,3954.5283,115.4716796875
9239,9174.532,64.4677734375
15396,15659.683,-263.6826171875
11344,10970.003,373.9970703125
2784,2671.8394,112.16064453125
5052,5267.0747,-215.07470703125
9469,9539.321,-70.3212890625
9486,9196.698,289.3017578125
8761,8512.128,248.8720703125
13208,13321.189,-113.189453125
8967,8372.452,594.5478515625
1930,1989.2251,-59.22509765625
7397,7291.6,105.39990234375
11917,11641.639,275.361328125
2368,2220.5984,147.401611328125
11133,10661.97,471.0302734375
8550,8215.846,334.154296875
7825,7629.4097,195.59033203125
128,440.7623,-312.7622985839844
7161,6869.584,291.416015625
7201,7680.256,-479.255859375
6101,6408.8486,-307.8486328125
9675,9583.724,91.2763671875
8720,8733.086,-13.0859375
10050,10154.767,-104.7666015625
15098,14572.704,525.2958984375
11445,11300.408,144.591796875
3157,3104.8281,52.171875
8795,8555.973,239.02734375
13927,14351.1,-424.099609375
12163,12090.96,72.0400390625
11220,11607.281,-387.28125
10139,10238.684,-99.68359375
9751,9750.625,0.375
11382,11489.086,-107.0859375
6662,6762.881,-100.880859375
14909,14631.243,277.7568359375
9170,9010.399,159.6005859375
15237,15934.132,-697.1318359375
11901,11748.501,152.4990234375
9744,9781.788,-37.7880859375
15810,16227.213,-417.212890625
8688,9019.653,-331.6533203125
15131,14877.91,253.08984375
16846,17530.492,-684.4921875
12872,13165.24,-293.240234375
4607,4667.812,-60.81201171875
12284,12052.498,231.501953125
11544,10975.93,568.0703125
6816,7109.564,-293.56396484375
12296,12057.198,238.8017578125
